report_id,date,house,source_pdf,origin_schema,legacy_row,region,application,metric,fy,value,value_prev,unit,basis,source_page,review_reasons,decision_status,actual_metric,period_scope,decision_reason
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,134,글로벌,EV,수요량,2030,485,,조원,전기차용 2차전지 시장규모 전망(매출 기준),29,지원하지 않는 지표·단위 조합: 수요량/조원,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,135,글로벌,ESS,수요량,2030,69,,조원,ESS용 2차전지 2030년 시장규모 시나리오1,29,지원하지 않는 지표·단위 조합: 수요량/조원,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,136,글로벌,ESS,수요량,2030,114,,조원,ESS용 2차전지 2030년 시장규모 시나리오2,29,지원하지 않는 지표·단위 조합: 수요량/조원,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,137,글로벌,ESS,수요량,2030,291,,조원,ESS용 2차전지 2030년 시장규모 시나리오3,29,지원하지 않는 지표·단위 조합: 수요량/조원,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,140,글로벌,ESS,실적치,2022,100,,GWh,"22년 실제 ESS 시장규모 역산 추정(당초 전망 50GWh 미만 대비 대폭 상회, SDI/LGES ESS 매출 역산 및 CATL ESS 출하량 47GWh 기반)",55,실적치는 원문 지표 재확인 필요,,,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,inbox/SK증권_전자장비와기기_배터리 패러다임의 변화 (feat. IT 탐방왕이 바라본 2차전지)_20230523.pdf,demand_forecasts,141,글로벌(중국 외),EV,실적치,2022,525,,GWh,연간 전기차 배터리 수요 실적(본문 서술),48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,1,중국,EV,실적치,2021,150,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,2,중국,EV,실적치,2022,298,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,11,유럽,EV,실적치,2021,90,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,12,유럽,EV,실적치,2022,118,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
