company,fy,period,segment,segment_std,metric,value,unit,ampc_basis,source_file,source_page
LGES,2025,1Q,전사,전사,EBITDA,1232,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2025,1Q,전사,전사,당기순이익,227,십억원,incl,251Q_LGES_business_performance_KOR.pdf,13
LGES,2025,1Q,전사,전사,AMPC,458,십억원,na,251Q_LGES_business_performance_KOR.pdf,5
LGES,2025,1Q,전사,전사,CAPEX,-3014,십억원,na,251Q_LGES_business_performance_KOR.pdf,7
LGES,2025,2Q,전사,전사,매출,5565,십억원,excl,252Q_LGES_business_performance_KOR.pdf,13
LGES,2025,2Q,전사,전사,매출_AMPC포함(재작성),6056,십억원,incl,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,2Q,전사,전사,영업이익,492,십억원,incl,252Q_LGES_business_performance_KOR.pdf,13
LGES,2025,2Q,전사,전사,영업이익_AMPC제외,1,십억원,excl,252Q_LGES_business_performance_KOR.pdf,13
LGES,2025,2Q,전사,전사,EBITDA,1375,십억원,incl,252Q_LGES_business_performance_KOR.pdf,13
LGES,2025,2Q,전사,전사,당기순이익,91,십억원,incl,252Q_LGES_business_performance_KOR.pdf,13
LGES,2025,2Q,전사,전사,AMPC,491,십억원,na,252Q_LGES_business_performance_KOR.pdf,5
LGES,2025,2Q,전사,전사,CAPEX,-2717,십억원,na,252Q_LGES_business_performance_KOR.pdf,7
LGES,2025,3Q,전사,전사,매출,5700,십억원,excl,25_3Q_LGES_business_performance_KOR.pdf,13
LGES,2025,3Q,전사,전사,매출_AMPC포함(재작성),6065,십억원,incl,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,3Q,전사,전사,영업이익,601,십억원,incl,25_3Q_LGES_business_performance_KOR.pdf,13
LGES,2025,3Q,전사,전사,영업이익_AMPC제외,236,십억원,excl,25_3Q_LGES_business_performance_KOR.pdf,13
LGES,2025,3Q,전사,전사,EBITDA,1519,십억원,incl,25_3Q_LGES_business_performance_KOR.pdf,13
LGES,2025,3Q,전사,전사,당기순이익,536,십억원,incl,25_3Q_LGES_business_performance_KOR.pdf,13
LGES,2025,3Q,전사,전사,AMPC,366,십억원,na,25_3Q_LGES_business_performance_KOR.pdf,5
LGES,2025,3Q,전사,전사,CAPEX,-2171,십억원,na,25_3Q_LGES_business_performance_KOR.pdf,7
LGES,2025,4Q,전사,전사,매출,6141,십억원,excl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,4Q,전사,전사,매출_AMPC포함(재작성),6474,십억원,incl,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,4Q,전사,전사,영업이익,-122,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,4Q,전사,전사,영업이익_AMPC제외,-455,십억원,excl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,4Q,전사,전사,EBITDA,913,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,4Q,전사,전사,당기순이익,-772,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,4Q,전사,전사,AMPC,333,십억원,na,25_4Q_LGES_business_performance_F_KR.pdf,6
LGES,2025,4Q,전사,전사,CAPEX,-2515,십억원,na,25_4Q_LGES_business_performance_F_KR.pdf,8
LGES,2025,연간,전사,전사,매출,23672,십억원,excl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,연간,전사,전사,매출_AMPC포함(재작성),25319,십억원,incl,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,연간,전사,전사,영업이익,1346,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,연간,전사,전사,영업이익_AMPC제외,-301,십억원,excl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,연간,전사,전사,EBITDA,5037,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,연간,전사,전사,당기순이익,81,십억원,incl,25_4Q_LGES_business_performance_F_KR.pdf,14
LGES,2025,연간,전사,전사,AMPC,1647,십억원,na,26_1Q_LGES_business_performance_F_KR.pdf,13
LGES,2025,연간,전사,전사,CAPEX,-10417,십억원,na,25_4Q_LGES_business_performance_F_KR.pdf,8
LGES,2025,연간,자동차전지,자동차전지(원통형46시리즈),수주잔고,300,GWh,na,25_4Q_LGES_business_performance_F_KR.pdf,5
