report_id,date,house,region,application,metric,fy,value,value_prev,unit,basis,source_page,series_class,series_label,scope_note
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2023,66,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2024,82,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2025,112,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2026,165,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2027,179,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2028,227,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2029,305,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2030,345,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2031,470,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2032,592,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2033,718,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2034,917,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,기타,EV,판매대수,2035,1129,,만대,,49,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,침투율,2025,25,,%,당사 전기차 침투율 가정(자동차 시장 내),49,시장전체,전기차 침투율 가정,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,침투율,2030,41,,%,당사 전기차 침투율 가정(자본시장 눈높이 50%대비 보수적),49,시장전체,전기차 침투율 가정,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,침투율,2035,65,,%,당사 전기차 침투율 가정,49,시장전체,전기차 침투율 가정,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,수요량,2030,485,,조원,전기차용 2차전지 시장규모 전망(매출 기준),29,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2030,69,,조원,ESS용 2차전지 2030년 시장규모 시나리오1,29,시나리오,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2030,114,,조원,ESS용 2차전지 2030년 시장규모 시나리오2,29,시나리오,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,수요량,2030,291,,조원,ESS용 2차전지 2030년 시장규모 시나리오3,29,시나리오,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,EV,성장률,2030,25,,%,EV 배터리 수요 2022~2030 8년 CAGR,55,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,성장률,2030,27,,%,ESS 배터리 수요 2022~2030 8년 CAGR,55,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌,ESS,실적치,2022,100,,GWh,"22년 실제 ESS 시장규모 역산 추정(당초 전망 50GWh 미만 대비 대폭 상회, SDI/LGES ESS 매출 역산 및 CATL ESS 출하량 47GWh 기반)",55,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌(중국 외),EV,실적치,2022,525,,GWh,연간 전기차 배터리 수요 실적(본문 서술),48,시장전체,,
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌(중국 외),EV,수요량,2030,2999,,GWh,"본문 서술 수치. 동일 보고서의 상세 수급표(p.49, 1,492GWh)와 값이 상이하나 원문 그대로 수집",48,시장전체,,
