reclassification,decision_reason,house,coverage,report_date,report_title,source_group,source_file,source_ids,page,page_count,candidate_type,markets,applications,geographies,metrics,units,risk_flags,score,latest_reference_ids,unique_application_signals,selection_anchor_date,age_days,freshness
최신 유효,유진투자증권·산업의 2026년 최신 ESS/EV 자료,유진투자증권,산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,4,101,시장,EV|ESS,BESS,글로벌|미국|유럽|중국,수요|성장률,%,,13,2026-05-17_유진투자증권_산업,,2026-07-31,75,최근 1년
최신 유효,유진투자증권·산업의 2026년 최신 ESS/EV 자료,유진투자증권,산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,15,101,시장,ESS,데이터센터|BESS,미국|중국,설치용량|수요|용량,%|GWH,,12,2026-05-17_유진투자증권_산업,,2026-07-31,75,최근 1년
최신 유효,유진투자증권·산업의 2026년 최신 ESS/EV 자료,유진투자증권,산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,18,101,시장·회사,ESS,BESS,미국|중국|한국,생산능력,GWH,수주·계약,13,2026-05-17_유진투자증권_산업,,2026-07-31,75,최근 1년
최신 유효,유진투자증권·산업의 2026년 최신 ESS/EV 자료,유진투자증권,산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,37,101,시장·회사,EV|ESS,데이터센터|Grid/Utility|상업·산업용(C&I)|UPS,글로벌|미국|유럽|중국,캐파,GWH,수주·계약,12,2026-05-17_유진투자증권_산업,,2026-07-31,75,최근 1년
최신 유효,유진투자증권·LGES의 2026년 최신 ESS/EV 자료,유진투자증권,LGES,2026-07-31,ESS가 이끄는 외형 성장,inbox,유진투자증권_LG에너지솔루션_ESS가 이끄는 외형 성장_20260731.pdf,2026-07-31_유진투자증권_LGES,1,12,시장,EV|ESS,데이터센터|Grid/Utility|UPS,북미|유럽|중국,출하량|생산능력|수요|YoY|CAPA,%,수주·계약,14,2026-07-31_유진투자증권_LGES,,2026-07-31,0,최근 1년
최신 유효,유진투자증권·LGES의 2026년 최신 ESS/EV 자료,유진투자증권,LGES,2026-07-31,ESS가 이끄는 외형 성장,inbox,유진투자증권_LG에너지솔루션_ESS가 이끄는 외형 성장_20260731.pdf,2026-07-31_유진투자증권_LGES,2,12,시장,EV|ESS,,북미|미국|유럽|중국,출하량|생산량|수요|캐파,%,수주·계약,13,2026-07-31_유진투자증권_LGES,,2026-07-31,0,최근 1년
최신 유효,유진투자증권·SK온의 2026년 최신 ESS/EV 자료,유진투자증권,SK온,2026-07-31,전쟁 수혜 + 배터리 보상금 반영,inbox,유진투자증권_SK이노베이션_전쟁 수혜 + 배터리 보상금 반영_20260731.pdf,2026-07-31_유진투자증권_SK온,1,7,시장,EV|ESS,,글로벌,판매량|수요|YoY,%,,13,2026-07-31_유진투자증권_SK온,,2026-07-31,0,최근 1년
최신 유효,유진투자증권·SK온의 2026년 최신 ESS/EV 자료,유진투자증권,SK온,2026-07-31,전쟁 수혜 + 배터리 보상금 반영,inbox,유진투자증권_SK이노베이션_전쟁 수혜 + 배터리 보상금 반영_20260731.pdf,2026-07-31_유진투자증권_SK온,4,7,시장·회사,EV|ESS,데이터센터,글로벌|북미|미국|유럽,수요|캐파,GW,수주·계약,13,2026-07-31_유진투자증권_SK온,,2026-07-31,0,최근 1년
최신 유효,키움증권·LGES의 2026년 최신 ESS/EV 자료,키움증권,LGES,2026-07-31,"중장기 성장성 확인, 다만 단기 ESS 수익성 우려",inbox,"키움증권_LG에너지솔루션_중장기 성장성 확인, 다만 단기 ESS 수익성 우려_20260731.pdf",2026-07-31_키움증권_LGES,1,8,시장·회사,EV|ESS,,북미|유럽|중국,판매량|출하량|수요|YoY|캐파,%|GWH,수주·계약,14,2026-07-31_키움증권_LGES,,2026-07-31,0,최근 1년
최신 유효,키움증권·삼성SDI의 2026년 최신 ESS/EV 자료,키움증권,삼성SDI,2026-07-31,"분기 흑자전환 달성, 실적 개선 속도는 점검 필요",inbox,"키움증권_삼성SDI_분기 흑자전환 달성, 실적 개선 속도는 점검 필요_20260731.pdf",2026-07-31_키움증권_삼성SDI,1,8,시장,EV|ESS,UPS,미국|유럽,판매량|출하량|수요|점유율|YoY,%,수주·계약,13,2026-07-31_키움증권_삼성SDI,,2026-07-31,0,최근 1년
최신 유효,하나증권·SK온의 2026년 최신 ESS/EV 자료,하나증권,SK온,2026-05-14,단기 실적 변동성 vs. 중장기 호황,inbox,하나증권_SK이노베이션_단기 실적 변동성 vs. 중장기 호황_20260514.pdf,2026-05-14_하나증권_SK온,1,5,시장·회사,EV|ESS,,북미|미국|유럽|한국,판매량|YoY,%|GWH,수주·계약,13,2026-05-14_하나증권_SK온,,2026-07-31,78,최근 1년
최신 유효,하나증권·산업의 2026년 최신 ESS/EV 자료,하나증권,산업,2026-06-08,배터리 투자자가 준비해야 하는 3가지,inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,3,30,시장·회사,ESS,,북미|유럽|중국|한국,생산능력|YoY,%|GWH|MWH,수주·계약,13,2026-06-08_하나증권_산업,,2026-07-31,53,최근 1년
최신 유효,하나증권·산업의 2026년 최신 ESS/EV 자료,하나증권,산업,2026-06-08,배터리 투자자가 준비해야 하는 3가지,inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,6,30,시장·회사,EV|ESS,데이터센터,북미|미국|유럽|중국|한국,판매대수|생산능력|수요|YoY,%|GWH|대|만대,수주·계약,14,2026-06-08_하나증권_산업,,2026-07-31,53,최근 1년
