source_group,source_file,source_ids,page_count,text_extracted_pages,candidate_pages,requires_ocr,error
actuals,2025.1Q_IR_Final_K.pdf,삼성SDI,8,7,0,N,
actuals,2025.2Q_IR_Final_Kr.pdf,삼성SDI,8,6,0,N,
actuals,2025.3Q_IR_Final_Kr.pdf,삼성SDI,8,6,0,N,
actuals,2025.4Q_IR_Final_Kr.pdf,삼성SDI,9,7,3,N,
actuals,2026.1Q_IR_Final_Kr.pdf,2026_1Q_삼성SDI|삼성SDI,8,7,0,N,
actuals,2026.2Q_IR_Final_Kr.pdf,2026_2Q_삼성SDI,8,6,0,N,
actuals,251Q_LGES_business_performance_KOR.pdf,LGES,16,10,0,N,
actuals,252Q_LGES_business_performance_KOR.pdf,LGES,16,10,0,N,
actuals,25_1Q_Script.pdf,,17,17,6,N,
actuals,25_2Q_Script.pdf,,23,23,7,N,
actuals,25_3Q_LGES_business_performance_KOR.pdf,LGES,16,3,0,N,
actuals,25_3Q_Script.pdf,,22,22,6,N,
actuals,25_4Q_LGES_business_performance_F_KR.pdf,LGES,17,17,5,N,
actuals,25_4Q_Script.pdf,,18,18,10,N,
actuals,26_1Q_LGES_business_performance_F_KR.pdf,2026_1Q_LGES|LGES,16,16,3,N,
actuals,26_1Q_Script.pdf,2026_1Q_LGES,14,14,7,N,
actuals,26_2Q_LGES_business_performance_F_KR.pdf,2026_2Q_LGES,16,16,3,N,
actuals,26_2Q_Script.pdf,2026_2Q_LGES,11,11,6,N,
actuals,SK Innovation_Earnings Release_2Q26 (Korean).pdf,2026_2Q_SK온,8,7,0,N,
actuals,SK이노베이션_실적발표_1Q25 국문_F.pdf,SK온|SK이노베이션,19,19,3,N,
actuals,SK이노베이션_실적발표_1Q26_0513_final.pdf,SK온|SK이노베이션,8,7,0,N,
actuals,SK이노베이션_실적발표_2Q25 국문_F.pdf,SK온|SK이노베이션,19,19,2,N,
actuals,SK이노베이션_실적발표_3Q25 국문.pdf,SK온|SK이노베이션,19,19,2,N,
actuals,SK이노베이션_실적발표_4Q25 국문 (1).pdf,SK온|SK이노베이션,22,22,3,N,
